CLAIM_ID,CLAIM_TYPE,SEVERITY_SCORE,COMPLEXITY_SCORE,JURISDICTION,REQUIRED_SKILL,ESTIMATED_HOURS,STATUS
1001,Auto,0.45,0.3,VA,Auto,6,Unassigned
1002,Property,0.72,0.6,NC,Property,12,Unassigned
1003,Liability,0.55,0.4,MD,Liability,8,Unassigned
1004,Commercial,0.8,0.75,VA,Commercial,15,Unassigned
1005,Auto,0.33,0.2,NC,Auto,4,Unassigned
1006,Property,0.66,0.55,SC,Property,10,Unassigned
1007,Liability,0.59,0.48,VA,Liability,9,Unassigned
1008,Commercial,0.77,0.7,MD,Commercial,14,Unassigned
1009,Auto,0.4,0.25,SC,Auto,5,Unassigned
1010,Property,0.71,0.62,VA,Property,13,Unassigned
1011,Liability,0.58,0.45,NC,Liability,7,Unassigned
1012,Commercial,0.82,0.78,SC,Commercial,16,Unassigned
1013,Auto,0.36,0.22,MD,Auto,4,Unassigned
1014,Property,0.69,0.58,VA,Property,11,Unassigned
1015,Liability,0.54,0.39,SC,Liability,8,Unassigned
1016,Commercial,0.79,0.73,NC,Commercial,15,Unassigned
1017,Auto,0.41,0.27,VA,Auto,6,Unassigned
1018,Property,0.67,0.56,MD,Property,10,Unassigned
1019,Liability,0.57,0.44,VA,Liability,9,Unassigned
1020,Commercial,0.81,0.76,SC,Commercial,14,Unassigned
1021,Auto,0.39,0.24,NC,Auto,5,Unassigned
1022,Property,0.73,0.63,VA,Property,12,Unassigned
1023,Liability,0.53,0.38,MD,Liability,7,Unassigned
1024,Commercial,0.78,0.72,NC,Commercial,15,Unassigned
1025,Auto,0.35,0.21,SC,Auto,4,Unassigned
1026,Property,0.7,0.59,VA,Property,11,Unassigned
1027,Liability,0.56,0.43,NC,Liability,8,Unassigned
1028,Commercial,0.83,0.79,MD,Commercial,16,Unassigned
1029,Auto,0.42,0.28,VA,Auto,6,Unassigned
1030,Property,0.68,0.57,SC,Property,10,Unassigned
1031,Liability,0.55,0.41,MD,Liability,9,Unassigned
1032,Commercial,0.8,0.74,VA,Commercial,14,Unassigned
1033,Auto,0.37,0.23,NC,Auto,5,Unassigned
1034,Property,0.72,0.61,SC,Property,12,Unassigned
1035,Liability,0.59,0.47,VA,Liability,8,Unassigned
1036,Commercial,0.77,0.71,MD,Commercial,15,Unassigned
1037,Auto,0.34,0.19,SC,Auto,4,Unassigned
1038,Property,0.69,0.58,NC,Property,11,Unassigned
1039,Liability,0.52,0.37,VA,Liability,7,Unassigned
1040,Commercial,0.82,0.77,SC,Commercial,16,Unassigned
1041,Auto,0.43,0.29,MD,Auto,6,Unassigned
1042,Property,0.71,0.6,VA,Property,10,Unassigned
1043,Liability,0.57,0.46,NC,Liability,9,Unassigned
1044,Commercial,0.79,0.73,SC,Commercial,14,Unassigned
1045,Auto,0.38,0.26,VA,Auto,5,Unassigned
1046,Property,0.74,0.64,MD,Property,13,Unassigned
1047,Liability,0.54,0.4,SC,Liability,8,Unassigned
1048,Commercial,0.81,0.75,NC,Commercial,15,Unassigned
1049,Auto,0.36,0.22,VA,Auto,4,Unassigned
1050,Property,0.7,0.59,SC,Property,11,Unassigned
1051,Liability,0.58,0.45,MD,Liability,9,Unassigned
1052,Commercial,0.78,0.72,VA,Commercial,14,Unassigned
