RECORD_ID,ADJUSTER_ID,CLAIM_ID,CYCLE_TIME_DAYS,INDEMNITY_PAID,REOPEN_FLAG,LITIGATION_FLAG,CUSTOMER_SATISFACTION
1,1,1001,12,3500,0,0,4.5
2,2,1002,18,12000,1,0,4.8
3,3,1003,25,8000,0,1,3.9
4,4,1004,20,15000,0,0,4.7
5,1,1005,10,2000,0,0,4.6
6,5,1006,14,5000,0,0,4.2
7,7,1007,22,9000,1,1,3.7
8,8,1008,17,11000,0,0,4.4
9,6,1009,11,2500,0,0,4.9
10,9,1010,19,13000,1,0,4.1
11,10,1011,16,7000,0,0,4.3
12,11,1012,23,14000,1,1,3.8
13,12,1013,13,3200,0,0,4.6
14,13,1014,21,12500,0,0,4.7
15,14,1015,26,9000,1,1,3.6
16,15,1016,15,6000,0,0,4.4
17,16,1017,18,10500,0,0,4.5
18,17,1018,24,15000,1,1,3.9
19,18,1019,12,4000,0,0,4.8
20,19,1020,20,13500,0,0,4.6
21,20,1021,14,5200,0,0,4.3
22,21,1022,22,14500,1,1,3.7
23,22,1023,17,7800,0,0,4.4
24,23,1024,25,16000,1,1,3.8
25,24,1025,11,2600,0,0,4.9
26,25,1026,19,12000,0,0,4.2
27,26,1027,16,6800,0,0,4.5
28,27,1028,23,15500,1,1,3.9
29,28,1029,13,3100,0,0,4.7
30,29,1030,21,12800,0,0,4.6
31,30,1031,27,9100,1,1,3.6
32,31,1032,15,5900,0,0,4.4
33,32,1033,18,10200,0,0,4.5
34,33,1034,24,14800,1,1,3.8
35,34,1035,12,3800,0,0,4.8
36,35,1036,20,13200,0,0,4.6
37,36,1037,14,5100,0,0,4.3
38,37,1038,22,14200,1,1,3.7
39,38,1039,17,7600,0,0,4.4
40,39,1040,25,15800,1,1,3.8
41,40,1041,11,2400,0,0,4.9
42,41,1042,19,11800,0,0,4.2
43,42,1043,16,6600,0,0,4.5
44,43,1044,23,15200,1,1,3.9
45,44,1045,13,3000,0,0,4.7
46,45,1046,21,12600,0,0,4.6
47,46,1047,26,8900,1,1,3.6
48,47,1048,15,5800,0,0,4.4
49,48,1049,18,10100,0,0,4.5
50,49,1050,24,14700,1,1,3.8
51,50,1051,12,3600,0,0,4.8
52,51,1052,20,13100,0,0,4.6
53,52,1053,14,5000,0,0,4.3
54,53,1054,22,14100,1,1,3.7
55,54,1055,17,7500,0,0,4.4
56,55,1056,25,15700,1,1,3.8
57,56,1057,11,2300,0,0,4.9
58,57,1058,19,11700,0,0,4.2
59,58,1059,16,6400,0,0,4.5
60,59,1060,23,15100,1,1,3.9
61,60,1061,13,2900,0,0,4.7
62,61,1062,21,12400,0,0,4.6
63,62,1063,27,8800,1,1,3.6
64,63,1064,15,5700,0,0,4.4
65,64,1065,18,9900,0,0,4.5
66,65,1066,24,14600,1,1,3.8
67,66,1067,12,3500,0,0,4.8
68,67,1068,20,13000,0,0,4.6
69,68,1069,14,4900,0,0,4.3
70,69,1070,22,14000,1,1,3.7
71,70,1071,17,7400,0,0,4.4
72,71,1072,25,15600,1,1,3.8
73,72,1073,11,2200,0,0,4.9
74,73,1074,19,11600,0,0,4.2
75,74,1075,16,6300,0,0,4.5
76,75,1076,23,15000,1,1,3.9
77,76,1077,13,2800,0,0,4.7
78,77,1078,21,12300,0,0,4.6
79,78,1079,26,8700,1,1,3.6
80,79,1080,15,5600,0,0,4.4
81,80,1081,18,9800,0,0,4.5
82,81,1082,24,14500,1,1,3.8
83,82,1083,12,3400,0,0,4.8
84,83,1084,20,12900,0,0,4.6
85,84,1085,14,4800,0,0,4.3
86,85,1086,22,13900,1,1,3.7
87,86,1087,17,7300,0,0,4.4
88,87,1088,25,15500,1,1,3.8
89,88,1089,11,2100,0,0,4.9
90,89,1090,19,11500,0,0,4.2
91,90,1091,16,6200,0,0,4.5
92,91,1092,23,14900,1,1,3.9
93,92,1093,13,2700,0,0,4.7
94,93,1094,21,12200,0,0,4.6
95,94,1095,27,8600,1,1,3.6
96,95,1096,15,5500,0,0,4.4
97,96,1097,18,9700,0,0,4.5
98,97,1098,24,14400,1,1,3.8
99,98,1099,12,3300,0,0,4.8
100,99,1100,20,12800,0,0,4.6
